height,years,reward_base_units,supply_base_units
1,0.0000,1383764049,1383764049
2630,0.0100,1381368172,3636147960685
5260,0.0200,1378975535,7265997830117
7890,0.0300,1376587042,10889560517078
10520,0.0400,1374202686,14506846911420
13150,0.0500,1371822460,18117867884167
15780,0.0600,1369446357,21722634287605
18410,0.0700,1367074369,25321156955284
21040,0.0800,1364706490,28913446701782
23670,0.0900,1362342712,32499514322828
26300,0.1000,1359983028,36079370595645
28930,0.1100,1357627432,39653026278722
31560,0.1200,1355275915,43220492112117
34190,0.1300,1352928473,46781778817101
36820,0.1400,1350585095,50336897096405
39450,0.1500,1348245777,53885857634256
42080,0.1600,1345910510,57428671096192
44710,0.1700,1343579288,60965348129447
47340,0.1800,1341252105,64495899362853
49970,0.1900,1338928952,68020335406859
52600,0.2000,1336609822,71538666853527
55230,0.2100,1334294710,75050904276307
57860,0.2200,1331983608,78557058230563
60490,0.2300,1329676509,82057139253222
63120,0.2400,1327373405,85551157863167
65750,0.2500,1325074291,89039124560954
68380,0.2600,1322779159,92521049828717
71010,0.2700,1320488003,95996944130977
73640,0.2800,1318200815,99466817913769
76270,0.2900,1315917589,102930681605083
78900,0.3000,1313638317,106388545614862
81530,0.3100,1311362993,109840420335138
84160,0.3200,1309091611,113286316139977
86790,0.3300,1306824162,116726243385148
89420,0.3400,1304560641,120160212408642
92050,0.3500,1302301040,123588233530452
94680,0.3600,1300045353,127010317052871
97310,0.3700,1297793574,130426473260347
99940,0.3800,1295545694,133836712419487
102570,0.3900,1293301708,137241044779041
105200,0.4000,1291061609,140639480570055
107830,0.4100,1288825390,144032030005732
110460,0.4200,1286593044,147418703281728
113090,0.4300,1284364565,150799510576114
115720,0.4400,1282139945,154174462049186
118350,0.4500,1279919179,157543567843845
120980,0.4600,1277702260,160906838085094
123610,0.4700,1275489180,164264282880536
126240,0.4800,1273279933,167615912320215
128870,0.4900,1271074513,170961736476832
131500,0.5000,1268872913,174301765405591
134130,0.5100,1266675127,177636009143979
136760,0.5200,1264481147,180964477712782
139390,0.5300,1262290967,184287181114959
142020,0.5400,1260104581,187604129336187
144650,0.5500,1257921982,190915332344951
147280,0.5600,1255743162,194220800092403
149910,0.5700,1253568118,197520542512755
152540,0.5800,1251396840,200814569522456
155170,0.5900,1249229324,204102891021039
157800,0.6000,1247065561,207385516890764
160430,0.6100,1244905547,210662456997074
163060,0.6200,1242749274,213933721188064
165690,0.6300,1240596735,217199319294981
168320,0.6400,1238447925,220459261131886
170950,0.6500,1236302837,223713556495825
173580,0.6601,1234161464,226962215166911
176210,0.6701,1232023801,230205246908277
178840,0.6801,1229889839,233442661466341
181470,0.6901,1227759575,236674468570536
184100,0.7001,1225632999,239900677933442
186730,0.7101,1223510107,243121299250695
189360,0.7201,1221390893,246336342201148
191990,0.7301,1219275349,249545816446943
194620,0.7401,1217163469,252749731633557
197250,0.7501,1215055247,255948097389705
199880,0.7601,1212950677,259140923327202
202510,0.7701,1210849752,262328219041785
205140,0.7801,1208752466,265509994112121
207770,0.7901,1206658812,268686258100323
210400,0.8001,1204568785,271857020552146
213030,0.8101,1202482379,275022290996646
215660,0.8201,1200399586,278182078946670
218290,0.8301,1198320400,281336393898031
220920,0.8401,1196244816,284485245330419
223550,0.8501,1194172827,287628642707015
226180,0.8601,1192104426,290766595474707
228810,0.8701,1190039609,293899113063998
231440,0.8801,1187978367,297026204889132
234070,0.8901,1185920697,300147880347916
236700,0.9001,1183866590,303264148821832
239330,0.9101,1181816040,306375019676222
241960,0.9201,1179769043,309480502260153
244590,0.9301,1177725592,312580605906555
247220,0.9401,1175685679,315675339932331
249850,0.9501,1173649300,318764713638028
252480,0.9601,1171616448,321848736308112
255110,0.9701,1169587117,324927417210833
257740,0.9801,1167561301,328000765598574
260370,0.9901,1165538994,331068790707790
263000,1.0001,1163520190,334131501758572
265630,1.0101,1161504882,337188907955289
268260,1.0201,1159493066,340241018486513
270890,1.0301,1157484733,343287842524787
273520,1.0401,1155479880,346329389226630
276150,1.0501,1153478499,349365667732926
278780,1.0601,1151480585,352396687168528
281410,1.0701,1149486130,355422456642831
284040,1.0801,1147495131,358442985248960
286670,1.0901,1145507580,361458282064463
289300,1.1001,1143523471,364468356151154
291930,1.1101,1141542800,367473216555233
294560,1.1201,1139565559,370472872307291
297190,1.1301,1137591743,373467332422221
299820,1.1401,1135621345,376456605899227
302450,1.1501,1133654361,379440701721921
305080,1.1601,1131690783,382419628858346
307710,1.1701,1129730607,385393396261152
310340,1.1801,1127773825,388362012867376
312970,1.1901,1125820433,391325487598749
315600,1.2001,1123870424,394283829361348
318230,1.2101,1121923794,397237047045836
320860,1.2201,1119980534,400185149527390
323490,1.2301,1118040641,403128145665994
326120,1.2401,1116104108,406066044306250
328750,1.2501,1114170928,408998854277317
331380,1.2601,1112241098,411926584393156
334010,1.2701,1110314609,414849243452595
336640,1.2801,1108391458,417766840239086
339270,1.2901,1106471638,420679383520821
341900,1.3001,1104555143,423586882050957
344530,1.3101,1102641967,426489344567397
347160,1.3201,1100732106,429386779793057
349790,1.3301,1098825552,432279196435477
352420,1.3401,1096922301,435166603187102
355050,1.3501,1095022346,438049008725500
357680,1.3601,1093125682,440926421713165
360310,1.3701,1091232303,443798850797590
362940,1.3801,1089342204,446666304611429
365570,1.3901,1087455378,449528791772078
368200,1.4001,1085571821,452386320882223
370830,1.4101,1083691527,455238900529502
373460,1.4201,1081814488,458086539286845
376090,1.4301,1079940701,460929245712248
378720,1.4401,1078070160,463767028349036
381350,1.4501,1076202859,466599895725529
383980,1.4601,1074338791,469427856355258
386610,1.4701,1072477954,472250918737054
389240,1.4801,1070620338,475069091355059
391870,1.4901,1068765940,477882382678793
394500,1.5001,1066914754,480690801162830
397130,1.5101,1065066775,483494355247347
399760,1.5201,1063221996,486293053358039
402390,1.5301,1061380413,489086903905738
405020,1.5401,1059542020,491875915286836
407650,1.5501,1057706810,494660095883153
410280,1.5601,1055874780,497439454062029
412910,1.5701,1054045923,500213998176437
415540,1.5801,1052220233,502983736564533
418170,1.5901,1050397706,505748677550187
420800,1.6001,1048578335,508508829442789
423430,1.6101,1046762115,511264200537508
426060,1.6201,1044949042,514014799115039
428690,1.6301,1043139109,516760633441907
431320,1.6401,1041332311,519501711770037
433950,1.6501,1039528643,522238042337159
436580,1.6601,1037728098,524969633366731
439210,1.6701,1035930672,527696493068071
441840,1.6801,1034136360,530418629636219
444470,1.6901,1032345155,533136051252141
447100,1.7001,1030557053,535848766082400
449730,1.7101,1028772048,538556782279424
452360,1.7201,1026990135,541260107981639
454990,1.7301,1025211308,543958751313325
457620,1.7401,1023435562,546652720384733
460250,1.7501,1021662892,549342023291967
462880,1.7601,1019893292,552026668117143
465510,1.7701,1018126758,554706662928599
468140,1.7801,1016363283,557382015780428
470770,1.7901,1014602863,560052734712889
473400,1.8001,1012845492,562718827752314
476030,1.8101,1011091164,565380302911171
478660,1.8201,1009339876,568037168188067
481290,1.8301,1007591621,570689431567511
483920,1.8401,1005846394,573337101020383
486550,1.8501,1004104190,575980184503657
489180,1.8601,1002365003,578618689960661
491810,1.8701,1000628829,581252625320875
494440,1.8801,998895661,583881998500153
497070,1.8901,997165496,586506817400485
499700,1.9001,995438328,589127089910155
502330,1.9101,993714152,591742823903913
504960,1.9201,991992961,594354027242784
507590,1.9301,990274752,596960707774249
510220,1.9401,988559520,599562873332352
512850,1.9501,986847257,602160531737252
515480,1.9601,985137961,604753690795630
518110,1.9701,983431626,607342358300645
520740,1.9802,981728245,609926542032082
523370,1.9902,980027816,612506249756208
526000,2.0002,978330331,615081489225443
528630,2.0102,976635787,617652268179225
531260,2.0202,974944177,620218594343835
533890,2.0302,973255498,622780475431738
536520,2.0402,971569744,625337919142167
539150,2.0502,969886909,627890933161118
541780,2.0602,968206990,630439525161150
544410,2.0702,966529980,632983702801639
547040,2.0802,964855875,635523473728476
549670,2.0902,963184670,638058845574375
552300,2.1002,961516359,640589825958893
554930,2.1102,959850938,643116422488411
557560,2.1202,958188401,645638642756142
560190,2.1302,956528744,648156494342155
562820,2.1402,954871962,650669984813288
565450,2.1502,953218050,653179121723267
568080,2.1602,951567002,655683912612809
570710,2.1702,949918814,658184365009594
573340,2.1802,948273481,660680486428255
575970,2.1902,946630997,663172284370539
578600,2.2002,944991358,665659766324867
581230,2.2102,943354560,668142939766882
583860,2.2202,941720597,670621812159197
586490,2.2302,940089463,673096390951617
589120,2.2402,938461155,675566683580976
591750,2.2502,936835667,678032697471103
594380,2.2602,935212995,680494440033240
597010,2.2702,933593133,682951918665656
599640,2.2802,931976077,685405140753824
602270,2.2902,930361822,687854113670374
604900,2.3002,928750363,690298844775278
607530,2.3102,927141695,692739341415737
610160,2.3202,925535813,695175610926178
612790,2.3302,923932714,697607660628223
615420,2.3402,922332390,700035497830857
618050,2.3502,920734839,702459129830500
620680,2.3602,919140054,704878563910880
623310,2.3702,917548032,707293807343199
625940,2.3802,915958768,709704867386008
628570,2.3902,914372256,712111751285174
631200,2.4002,912788492,714514466274096
633830,2.4102,911207471,716913019573612
636460,2.4202,909629189,719307418392222
639090,2.4302,908053641,721697669925686
641720,2.4402,906480821,724083781357656
644350,2.4502,904910725,726465759858943
646980,2.4602,903343349,728843612588090
649610,2.4702,901778689,731217346691197
652240,2.4802,900216737,733586969302080
654870,2.4902,898657492,735952487542213
657500,2.5002,897100947,738313908520430
660130,2.5102,895547099,740671239333717
662760,2.5202,893995942,743024487066563
665390,2.5302,892447471,745373658791163
668020,2.5402,890901683,747718761567498
670650,2.5502,889358571,750059802443300
673280,2.5602,887818133,752396788454262
675910,2.5702,886280363,754729726623645
678540,2.5802,884745256,757058623962577
681170,2.5902,883212809,759383487470029
683800,2.6002,881683015,761704324132916
686430,2.6102,880155872,764021140926118
689060,2.6202,878631374,766333944812338
691690,2.6302,877109515,768642742742273
694320,2.6402,875590294,770947541654523
696950,2.6502,874073703,773248348475693
699580,2.6602,872559740,775545170120343
702210,2.6702,871048398,777838013491168
704840,2.6802,869539674,780126885478848
707470,2.6902,868033564,782411792962280
710100,2.7002,866530062,784692742808153
712730,2.7102,865029165,786969741871358
715360,2.7202,863530867,789242796994951
717990,2.7302,862035164,791511915010111
720620,2.7402,860542052,793777102736332
723250,2.7502,859051526,796038366980943
725880,2.7602,857563582,798295714539907
728510,2.7702,856078216,800549152197221
731140,2.7802,854595421,802798686725089
733770,2.7902,853115196,805044324884117
736400,2.8002,851637534,807286073423065
739030,2.8102,850162431,809523939079195
741660,2.8202,848689884,811757928577918
744290,2.8302,847219887,813988048633001
746920,2.8402,845752436,816214305946536
749550,2.8502,844287527,818436707209075
752180,2.8602,842825156,820655259099749
754810,2.8702,841365317,822869968285904
757440,2.8802,839908007,825080841423429
760070,2.8902,838453220,827287885156643
762700,2.9002,837000954,829491106118319
765330,2.9102,835551203,831690510929800
767960,2.9202,834103963,833886106200964
770590,2.9302,832659231,836077898530342
773220,2.9402,831217000,838265894504922
775850,2.9502,829777268,840450100700219
778480,2.9602,828340029,842630523680341
781110,2.9702,826905280,844807169998178
783740,2.9802,825473015,846980046195209
786370,2.9902,824043232,849149158801545
789000,3.0002,822615924,851314514335793
791630,3.0102,821191090,853476119305733
794260,3.0202,819768723,855633980207679
796890,3.0302,818348820,857788103526528
799520,3.0402,816931376,859938495736112
802150,3.0502,815516387,862085163299072
804780,3.0602,814103849,864228112666865
807410,3.0702,812693758,866367350279676
810040,3.0802,811286109,868502882566443
812670,3.0902,809880898,870634715945025
815300,3.1002,808478122,872762856822273
817930,3.1102,807077774,874887311593935
820560,3.1202,805679853,877008086644618
823190,3.1302,804284353,879125188347913
825820,3.1402,802891270,881238623066320
828450,3.1502,801500600,883348397151266
831080,3.1602,800112338,885454516943281
833710,3.1702,798726482,887556988771923
836340,3.1802,797343025,889655818955801
838970,3.1902,795961965,891751013802582
841600,3.2002,794583296,893842579608794
844230,3.2102,793207017,895930522660277
846860,3.2202,791833120,898014849231863
849490,3.2302,790461604,900095565587619
852120,3.2402,789092463,902172677980673
854750,3.2502,787725693,904246192653318
857380,3.2602,786361291,906316115837160
860010,3.2702,784999252,908382453752931
862640,3.2802,783639572,910445212610609
865270,3.2903,782282248,912504398609372
867900,3.3003,780927274,914560017937768
870530,3.3103,779574647,916612076773652
873160,3.3203,778224363,918660581283931
875790,3.3303,776876418,920705537624978
878420,3.3403,775530808,922746951942468
881050,3.3503,774187528,924784830371473
883680,3.3603,772846575,926819179036431
886310,3.3703,771507944,928850004051236
888940,3.3803,770171633,930877311519091
891570,3.3903,768837636,932901107532664
894200,3.4003,767505949,934921398174028
896830,3.4103,766176569,936938189514732
899460,3.4203,764849491,938951487615892
902090,3.4303,763524713,940961298528100
904720,3.4403,762202228,942967628291520
907350,3.4503,760882034,944970482935643
909980,3.4603,759564128,946969868479639
912610,3.4703,758248504,948965790932228
915240,3.4803,756935158,950958256291784
917870,3.4903,755624088,952947270546261
920500,3.5003,754315288,954932839673017
923130,3.5103,753008755,956914969639561
925760,3.5203,751704485,958893666402754
928390,3.5303,750402475,960868935909127
931020,3.5403,749102719,962840784094956
933650,3.5503,747805215,964809216886257
936280,3.5603,746509958,966774240198929
938910,3.5703,745216945,968735859938300
941540,3.5803,743926171,970694081999683
944170,3.5903,742637633,972648912267952
946800,3.6003,741351327,974600356618121
949430,3.6103,740067249,976548420914746
952060,3.6203,738785395,978493111012483
954690,3.6303,737505761,980434432755629
957320,3.6403,736228343,982372391978448
959950,3.6503,734953139,984306994505040
962580,3.6603,733680143,986238246149465
965210,3.6703,732409351,988166152715791
967840,3.6803,731140762,990090719997964
970470,3.6903,729874369,992011953779923
973100,3.7003,728610169,993929859835437
975730,3.7103,727348160,995844443928407
978360,3.7203,726088337,997755711812678
980990,3.7303,724830695,999663669232210
983620,3.7403,723575232,1001568321921010
986250,3.7503,722321943,1003469675602994
988880,3.7603,721070825,1005367735992412
991510,3.7703,719821874,1007262508793568
994140,3.7803,718575087,1009153999700691
996770,3.7903,717330459,1011042214398378
999400,3.8003,716087987,1012927158561235
1002030,3.8103,714847666,1014808837854307
1004660,3.8203,713609495,1016687257932382
1007290,3.8303,712373468,1018562424440680
1009920,3.8403,711139582,1020434343014633
1012550,3.8503,709907832,1022303019279906
1015180,3.8603,708678217,1024168458852473
1017810,3.8703,707450731,1026030667338557
1020440,3.8803,706225371,1027889650334647
1023070,3.8903,705002134,1029745413427494
1025700,3.9003,703781015,1031597962194248
1028330,3.9103,702562012,1033447302202342
1030960,3.9203,701345120,1035293439009577
1033590,3.9303,700130336,1037136378164320
1036220,3.9403,698917655,1038976125205055
1038850,3.9503,697707075,1040812685660742
1041480,3.9603,696498592,1042646065050782
1044110,3.9703,695292203,1044476268885022
1046740,3.9803,694087902,1046303302663775
1049370,3.9903,692885688,1048127171877744
1052000,4.0003,691685556,1049947882008153
1054630,4.0103,690487503,1051765438526861
1057260,4.0203,689291525,1053579846896262
1059890,4.0303,688097618,1055391112569104
1062520,4.0403,686905780,1057199240988851
1065150,4.0503,685716006,1059004237589483
1067780,4.0603,684528292,1060806107795647
1070410,4.0703,683342636,1062604857022384
1073040,4.0803,682159033,1064400490675477
1075670,4.0903,680977480,1066193014151298
1078300,4.1003,679797974,1067982432836952
1080930,4.1103,678620512,1069768752110199
1083560,4.1203,677445088,1071551977339515
1086190,4.1303,676271701,1073332113883940
1088820,4.1403,675100346,1075109167093346
1091450,4.1503,673931019,1076883142308265
1094080,4.1603,672763718,1078654044860046
1096710,4.1703,671598439,1080421880070751
1099340,4.1803,670435178,1082186653253433
1101970,4.1903,669273932,1083948369711630
1104600,4.2003,668114697,1085707034739869
1107230,4.2103,666957471,1087462653623372
1109860,4.2203,665802249,1089215231638304
1112490,4.2303,664649027,1090964774051746
1115120,4.2403,663497804,1092711286121495
1117750,4.2503,662348574,1094454773096342
1120380,4.2603,661201334,1096195240216053
1123010,4.2703,660056082,1097932692711292
1125640,4.2803,658912814,1099667135803537
1128270,4.2903,657771525,1101398574705377
1130900,4.3003,656632214,1103127014620287
1133530,4.3103,655494876,1104852460742887
1136160,4.3203,654359508,1106574918258523
1138790,4.3303,653226106,1108294392343659
1141420,4.3403,652094668,1110010888165865
1144050,4.3503,650965189,1111724410883727
1146680,4.3603,649837667,1113434965646878
1149310,4.3703,648712097,1115142557596092
1151940,4.3803,647588478,1116847191863188
1154570,4.3903,646466804,1118548873571091
1157200,4.4003,645347073,1120247607833763
1159830,4.4103,644229282,1121943399756548
1162460,4.4203,643113426,1123636254435740
1165090,4.4303,641999504,1125326176958944
1167720,4.4403,640887511,1127013172404863
1170350,4.4503,639777443,1128697245843406
1172980,4.4603,638669300,1130378402335653
1175610,4.4703,637563075,1132056646934002
1178240,4.4803,636458766,1133731984682127
1180870,4.4903,635356369,1135404420614728
1183500,4.5003,634255883,1137073959758073
1186130,4.5103,633157302,1138740607129682
1188760,4.5203,632060625,1140404367738333
1191390,4.5303,630965847,1142065246584102
1194020,4.5403,629872964,1143723248658422
1196650,4.5503,628781975,1145378378944169
1199280,4.5603,627692876,1147030642415572
1201910,4.5703,626605663,1148680044038061
1204540,4.5803,625520333,1150326588768548
1207170,4.5903,624436883,1151970281555391
1209800,4.6003,623355311,1153611127338424
1212430,4.6104,622275610,1155249131048861
1215060,4.6204,621197780,1156884297609487
1217690,4.6304,620121818,1158516631934311
1220320,4.6404,619047718,1160146138929069
1222950,4.6504,617975480,1161772823490861
1225580,4.6604,616905098,1163396690508422
1228210,4.6704,615836571,1165017744861931
1230840,4.6804,614769893,1166635991423224
1233470,4.6904,613705064,1168251435055558
1236100,4.7004,612642079,1169864080613818
1238730,4.7104,611580936,1171473932944452
1241360,4.7204,610521630,1173080996885511
1243990,4.7304,609464159,1174685277266788
1246620,4.7404,608408519,1176286778909519
1249250,4.7504,607354709,1177885506626684
1251880,4.7604,606302723,1179481465223082
1254510,4.7704,605252559,1181074659494946
1257140,4.7804,604204215,1182665094230325
1259770,4.7904,603157686,1184252774208938
1262400,4.8004,602112970,1185837704202339
1265030,4.8104,601070063,1187419888973714
1267660,4.8204,600028963,1188999333277934
1270290,4.8304,598989667,1190576041861718
1272920,4.8404,597952170,1192150019463463
1275550,4.8504,596916470,1193721270813506
1278180,4.8604,595882564,1195289800633935
1280810,4.8704,594850449,1196855613638722
1283440,4.8804,593820122,1198418714533532
1286070,4.8904,592791579,1199979108015913
1288700,4.9004,591764818,1201536798775347
1291330,4.9104,590739836,1203091791493122
1293960,4.9204,589716628,1204644090842531
1296590,4.9304,588695193,1206193701488742
1299220,4.9404,587675527,1207740628088740
1301850,4.9504,586657628,1209284875291514
1304480,4.9604,585641491,1210826447737884
1307110,4.9704,584627114,1212365350060771
1309740,4.9804,583614495,1213901586885130
1312370,4.9904,582603629,1215435162827657
1315000,5.0004,581594514,1216966082497189
1317630,5.0104,580587147,1218494350494741
1320260,5.0204,579581525,1220019971413150
1322890,5.0304,578577645,1221542949837373
1325520,5.0404,577575503,1223063290344438
1328150,5.0504,576575097,1224580997503494
1330780,5.0604,575576424,1226096075875728
1333410,5.0704,574579481,1227608530014282
1336040,5.0804,573584265,1229118364464529
1338670,5.0904,572590772,1230625583764001
1341300,5.1004,571599001,1232130192442344
1343930,5.1104,570608947,1233632195021381
1346560,5.1204,569620607,1235131596015121
1349190,5.1304,568633980,1236628399929657
1351820,5.1404,567649062,1238122611263323
1354450,5.1504,566665849,1239614234506616
1357080,5.1604,565684340,1241103274142386
1359710,5.1704,564704531,1242589734645603
1362340,5.1804,563726419,1244073620483681
1364970,5.1904,562750001,1245554936115972
1367600,5.2004,561775274,1247033685994351
1370230,5.2104,560802236,1248509874562823
1372860,5.2204,559830882,1249983506257802
1375490,5.2304,558861212,1251454585507982
1378120,5.2404,557893220,1252923116734355
1380750,5.2504,556926906,1254389104350328
1383380,5.2604,555962265,1255852552761653
1386010,5.2704,554999295,1257313466366421
1388640,5.2804,554037994,1258771849555091
1391270,5.2904,553078356,1260227706710619
1393900,5.3004,552120382,1261681042208292
1396530,5.3104,551164066,1263131860415823
1399160,5.3204,550209407,1264580165693356
1401790,5.3304,549256402,1266025962393370
1404420,5.3404,548305047,1267469254860962
1407050,5.3504,547355340,1268910047433671
1409680,5.3604,546407278,1270348344441544
1412310,5.3704,545460858,1271784150207129
1414940,5.3804,544516077,1273217469045365
1417570,5.3904,543572933,1274648305263830
1420200,5.4004,542631422,1276076663162554
1422830,5.4104,541691542,1277502547034268
1425460,5.4204,540753291,1278925961164141
1428090,5.4304,539816664,1280346909830099
1430720,5.4404,538881659,1281765397302353
1433350,5.4504,537948274,1283181427843916
1435980,5.4604,537016506,1284595005710329
1438610,5.4704,536086352,1286006135149864
1441240,5.4804,535157808,1287414820403408
1443870,5.4904,534230873,1288821065704338
1446500,5.5004,533305544,1290224875278947
1449130,5.5104,532381817,1291626253346076
1451760,5.5204,531459691,1293025204117333
1454390,5.5304,530539161,1294421731796950
1457020,5.5404,529620226,1295815840581969
1459650,5.5504,528702882,1297207534662107
1462280,5.5604,527787128,1298596818219859
1464910,5.5704,526872960,1299983695430414
1467540,5.5804,525960375,1301368170461638
1470170,5.5904,525049370,1302750247474335
1472800,5.6004,524139944,1304129930622117
1475430,5.6104,523232093,1305507224051325
1478060,5.6204,522325814,1306882131901160
1480690,5.6304,521421105,1308254658303606
1483320,5.6404,520517963,1309624807383492
1485950,5.6504,519616385,1310992583258510
1488580,5.6604,518716370,1312357990039292
1491210,5.6704,517817912,1313721031829262
1493840,5.6804,516921011,1315081712724859
1496470,5.6904,516025664,1316440036815271
1499100,5.7004,515131867,1317796008182660
1501730,5.7104,514239619,1319149630902038
1504360,5.7204,513348916,1320500909041519
1506990,5.7304,512459756,1321849846662119
1509620,5.7404,511572135,1323196447817702
1512250,5.7504,510686052,1324540716555251
1514880,5.7604,509801504,1325882656914739
1517510,5.7704,508918489,1327222272929035
1520140,5.7804,508037002,1328559568624148
1522770,5.7904,507157043,1329894548019067
1525400,5.8004,506278607,1331227215125856
1528030,5.8104,505401693,1332557573949537
1530660,5.8204,504526298,1333885628488214
1533290,5.8304,503652419,1335211382733030
1535920,5.8404,502780054,1336534840668288
1538550,5.8504,501909200,1337856006271459
1541180,5.8604,501039854,1339174883512977
1543810,5.8704,500172015,1340491476356452
1546440,5.8804,499305677,1341805788758706
1549070,5.8904,498440841,1343117824669571
1551700,5.9004,497577503,1344427588032089
1554330,5.9104,496715660,1345735082782544
1556960,5.9205,495855310,1347040312850345
1559590,5.9305,494996450,1348343282158179
1562220,5.9405,494139077,1349643994621786
1564850,5.9505,493283190,1350942454150162
1567480,5.9605,492428785,1352238664645550
1570110,5.9705,491575860,1353532630003473
1572740,5.9805,490724412,1354824354112707
1575370,5.9905,489874440,1356113840855003
1578000,6.0005,489025939,1357401094105844
1580630,6.0105,488178908,1358686117733902
1583260,6.0205,487333344,1359968915601009
1585890,6.0305,486489245,1361249491562408
1588520,6.0405,485646607,1362527849466522
1591150,6.0505,484805430,1363803993155325
1593780,6.0605,483965709,1365077926463979
1596410,6.0705,483127442,1366349653221009
1599040,6.0805,482290628,1367619177248336
1601670,6.0905,481455264,1368886502361216
1604300,6.1005,480621346,1370151632368351
1606930,6.1105,479788872,1371414571071867
1609560,6.1205,478957840,1372675322267281
1612190,6.1305,478128248,1373933889743565
1614820,6.1405,477300093,1375190277282983
1617450,6.1505,476473372,1376444488661389
1620080,6.1605,475648083,1377696527648080
1622710,6.1705,474824223,1378946398005851
1625340,6.1805,474001791,1380194103490927
1627970,6.1905,473180783,1381439647853034
1630600,6.2005,472361197,1382683034835370
1633230,6.2105,471543031,1383924268174643
1635860,6.2205,470726281,1385163351601198
1638490,6.2305,469910947,1386400288838796
1641120,6.2405,469097025,1387635083604754
1643750,6.2505,468284512,1388867739610054
1646380,6.2605,467473407,1390098260559272
1649010,6.2705,466663706,1391326650150365
1651640,6.2805,465855408,1392552912075107
1654270,6.2905,465048511,1393777050018751
1656900,6.3005,464243010,1394999067660306
1659530,6.3105,463438905,1396218968672208
1662160,6.3205,462636193,1397436756720626
1664790,6.3305,461834871,1398652435465346
1667420,6.3405,461034937,1399866008559848
1670050,6.3505,460236389,1401077479651334
1672680,6.3605,459439224,1402286852380595
1675310,6.3705,458643439,1403494130382191
1677940,6.3805,457849033,1404699317284360
1680570,6.3905,457056003,1405902416709015
1683200,6.4005,456264347,1407103432271792
1685830,6.4105,455474061,1408302367582181
1688460,6.4205,454685144,1409499226243292
1691090,6.4305,453897595,1410694011852135
1693720,6.4405,453111409,1411886727999330
1696350,6.4505,452326584,1413077378269357
1698980,6.4605,451543119,1414265966240394
1701610,6.4705,450761012,1415452495484548
1704240,6.4805,449980258,1416636969567719
1706870,6.4905,449200858,1417819392049480
1709500,6.5005,448422807,1418999766483443
1712130,6.5105,447646103,1420178096417041
1714760,6.5205,446870746,1421354385391497
1717390,6.5305,446096731,1422528636941881
1720020,6.5405,445324057,1423700854597162
1722650,6.5505,444552721,1424871041880326
1725280,6.5605,443782721,1426039202308074
1727910,6.5705,443014054,1427205339391071
1730540,6.5805,442246719,1428369456633842
1733170,6.5905,441480714,1429531557534962
1735800,6.6005,440716035,1430691645586864
1738430,6.6105,439952681,1431849724276004
1741060,6.6205,439190648,1433005797082759
1743690,6.6305,438429936,1434159867481451
1746320,6.6405,437670541,1435311938940366
1748950,6.6505,436912462,1436462014921845
1751580,6.6605,436155695,1437610098882231
1754210,6.6705,435400240,1438756194271865
1756840,6.6805,434646092,1439900304535128
1759470,6.6905,433893252,1441042433110410
1762100,6.7005,433141715,1442182583430070
1764730,6.7105,432391480,1443320758920633
1767360,6.7205,431642544,1444456963002628
1769990,6.7305,430894905,1445591199090778
1772620,6.7405,430148562,1446723470593671
1775250,6.7505,429403511,1447853780914203
1777880,6.7605,428659751,1448982133449264
1780510,6.7705,427917279,1450108531589891
1783140,6.7805,427176093,1451232978721284
1785770,6.7905,426436190,1452355478222747
1788400,6.8005,425697570,1453476033467808
1791030,6.8105,424960229,1454594647823955
1793660,6.8205,424224164,1455711324653005
1796290,6.8305,423489375,1456826067310856
1798920,6.8405,422755859,1457938879147677
1801550,6.8505,422023613,1459049763507771
1804180,6.8605,421292635,1460158723729716
1806810,6.8705,420562923,1461265763146273
1809440,6.8805,419834475,1462370885084396
1812070,6.8905,419107289,1463474092865313
1814700,6.9005,418381363,1464575389804461
1817330,6.9105,417656694,1465674779211666
1819960,6.9205,416933280,1466772264390892
1822590,6.9305,416211119,1467867848640386
1825220,6.9405,415490209,1468961535252699
1827850,6.9505,414770548,1470053327514662
1830480,6.9605,414052133,1471143228707446
1833110,6.9705,413334963,1472231242106561
1835740,6.9805,412619034,1473317370981751
1838370,6.9905,411904346,1474401618597122
1841000,7.0005,411190895,1475483988211249
1843630,7.0105,410478681,1476564483076947
1846260,7.0205,409767700,1477643106441416
1848890,7.0305,409057950,1478719861546320
1851520,7.0405,408349430,1479794751627570
1854150,7.0505,407642137,1480867779915628
1856780,7.0605,406936069,1481938949635172
