label,years,height,reward_base_units,reward_drkw,supply_base_units,supply_drkw,annual_inflation_pct
1 yr,1.0,262980,1163535529,11.63535529,334108231209055,3341082.31,91.583
2 yr,2.0,525960,978356126,9.78356126,615042355509197,6150423.56,41.833
4 yr,4.0,1051920,691722032,6.91722032,1049892545722891,10498925.46,17.326
8 yr,8.0,2103840,345780810,3.4578081,1574717082414378,15747170.82,5.775
12 yr,12.0,3155760,172850311,1.72850311,1837068496654291,18370684.97,2.474
16 yr,16.0,4207680,86405113,0.86405113,1968213783562522,19682137.84,1.154
tail onset,16.455,4327299,79853981,0.79853981,1978152503022345,19781525.03,1.062
20 yr,20.0,5259600,79853981,0.79853981,2052600449362626,20526004.49,1.023
50 yr,50.0,13149000,79853981,0.79853981,2682600447064026,26826004.47,0.783
100 yr,100.0,26298000,79853981,0.79853981,3732600443233026,37326004.43,0.563
200 yr,200.0,52596000,79853981,0.79853981,5832600435571026,58326004.36,0.36
